Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",438,1.75,0x00A21693,"1,201",17,"1,201",39,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,0.00,0x00A21696,"1,201",17,"1,201",39,
"System.Collections.Generic.List`1.get_Count()",44,0.18,0x00499760,137,17,137,30,
"System.Collections.Generic.List`1.get_Item(int32)",1,0.00,0x00A2CB74,183,17,183,49,
"System.Collections.Generic.List`1.get_Item(int32)",1,0.00,0x00A2CB8C,187,17,187,38,
"System.Collections.Generic.List`1.GetEnumerator()",99,0.39,0x00A215A0,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",60,0.24,0x00A215A4,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",56,0.22,0x00A215A9,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",68,0.27,0x00A215B3,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",47,0.19,0x00A215C0,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",1,0.00,0x00A215C5,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",3,0.01,0x00A215C7,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",1,0.00,0x00A215CA,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",61,0.24,0x00A215CC,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",7,0.03,0x00A215CF,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",72,0.29,0x00A215DD,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",619,2.47,0x00A215E9,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",274,1.09,0x00A215F3,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",524,2.09,0x00A215F8,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",78,0.31,0x00A215F9,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",66,0.26,0x00A215FA,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",54,0.22,0x00A215FD,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",7,0.03,0x00A215FE,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",2,0.01,0x00A215FF,580,13,580,41,
"System.Collections.Generic.List`1.GetEnumerator()",2,0.01,0x00A21600,580,13,580,41,
